afile	alang	akorp	astatus	sentlength	ppron	possdet	indef	cconj	whconj	relativ	pied	correl	copula	attrib	pasttense	lexdens	lexTTR	mquantif	mpred	finites	infs	pverbals	deverbals	bypassives	shortpassives	sconj	addit	advers	caus	tempseq	epist	but	comp	sup	neg	numcls	simple	demdets	nnargs	mhd	mdd	acl	aux	aux:pass	ccomp	nsubj:pass	parataxis	xcomp
GO_FICTION_002	de	croco	ref	16.6785714286	0.0960920771	0.0176659529	0.0010706638	0.5089285714	0.0178571429	0.1205357143	0.0223214286	0	0.1741071429	0.4598214286	0.3883928571	0.3768736617	0.9743944637	0.0187366167	0.2901785714	0.8807531381	0.0690376569	0.0083682008	0.0313807531	0	0.03125	0.2723214286	0.0758928571	0.0669642857	0.0982142857	0.1294642857	0.0803571429	0.0803571429	0.0317124736	0.0084566596	0.3348214286	0.5625	0.6383928571	0.0048179872	0.3392568659	2.7275571328	1.4859012903	0.0617491883	0.1621832161	0.0221230159	0.0452008929	0.0206439394	0.0265997024	0.0754639024
GO_FICTION_003	de	croco	ref	54.2794117647	0.0728799783	0.0167976158	0.001896505	1.8823529412	0.0588235294	1.1323529412	0.25	0.0735294118	0.7794117647	2.1029411765	1.8970588235	0.3784882146	0.9588194921	0.0208615551	0.6323529412	0.8768115942	0.0869565217	0.0120772947	0.0603864734	0	0.1764705882	1.3235294118	0.2647058824	0.3235294118	0.2352941176	0.6323529412	0.3382352941	0.1911764706	0.0460405157	0.0128913444	0.6176470588	2.8088235294	0.1470588235	0.00379301	0.2946768061	3.811695824	2.6863503706	0.1912041612	0.2515738545	0.0265426496	0.0854500126	0.0259755623	0.0319248755	0.0711475616
GO_TOU_022	de	croco	ref	22.4090909091	0.0064908722	0.0048681542	0.0004056795	1.0818181818	0.0545454545	0.1818181818	0.0545454545	0.0090909091	0.2	1.5545454545	0.0363636364	0.4089249493	0.989205103	0.0044624746	0.1	0.8294117647	0.0411764706	0.0058823529	0.0588235294	0	0.0636363636	0.0363636364	0.1636363636	0.0363636364	0.0272727273	0.0454545455	0.0181818182	0.0090909091	0.0498442368	0.0373831776	0.0727272727	0.4594594595	0.6306306306	0.0052738337	0.6201923077	3.2550927012	1.9296131612	0.2123123123	0.0966966967	0.0540540541	0.003003003	0.0255255255	0	0.0288288288
GO_ESSAY_006	de	croco	ref	25.0447761194	0.0148986889	0.0029797378	0.0005959476	0.8656716418	0.0149253731	0.4179104478	0.0447761194	0.0149253731	0.2537313433	1.1940298507	0.2089552239	0.4463647199	0.9881266491	0.021454112	0.3880597015	0.8253012048	0.0963855422	0.0120481928	0.1325301205	0	0.1343283582	0.328358209	0.2835820896	0.1343283582	0.1641791045	0.2835820896	0.1044776119	0.0895522388	0.0429042904	0.00330033	0.328358209	0.9565217391	0.4057971014	0.0041716329	0.5869565217	3.2045657304	2.0228312902	0.1607660455	0.2082470669	0.0530365769	0.027915804	0.0365079365	0.0537439614	0.0252415459
GO_SHARE_010	de	croco	ref	18.4285714286	0.0338637291	0.0257037944	0	0.6315789474	0	0.1428571429	0.007518797	0	0.2030075188	1.2406015038	0.0676691729	0.4316605467	0.9878618114	0.0065279478	0.1729323308	0.8047619048	0.0619047619	0.0285714286	0.3571428571	0.007518797	0.0676691729	0.0601503759	0.1578947368	0.0601503759	0.022556391	0.0526315789	0.022556391	0.007518797	0.0523076923	0.0215384615	0.022556391	0.2444444444	0.7777777778	0.0122399021	0.5399239544	2.9894254808	1.9824238507	0.0864197531	0.3379012346	0.0697530864	0.0086419753	0.0403703704	0.0074074074	0.0388888889
GO_ESSAY_012	de	croco	ref	18.7307692308	0.0143737166	0.0041067762	0	0.8076923077	0	0	0	0	0.2307692308	1.6153846154	0.0769230769	0.4435318275	0.9863013699	0.0102669405	0.4615384615	0.725	0.2	0.025	0.55	0	0.1538461538	0.1153846154	0.1538461538	0.0769230769	0.0769230769	0	0.0384615385	0	0.0857142857	0	0.1538461538	0.3076923077	0.6923076923	0.0164271047	0.7659574468	3.1566907867	2.0195610692	0.0192307692	0.1865384615	0.1070512821	0.0173076923	0.0397435897	0	0.0576923077
GO_ESSAY_014	de	croco	ref	24.7534246575	0.0105146652	0.0083010515	0	0.6301369863	0.0136986301	0.1369863014	0.0410958904	0	0.2328767123	1.5753424658	0.1643835616	0.4692861096	0.9918128655	0.0149418926	0.2739726027	0.765060241	0.1325301205	0	0.2530120482	0	0.1095890411	0.3287671233	0.1780821918	0.1917808219	0.1917808219	0.2876712329	0.0273972603	0.0410958904	0.0511945392	0.0034129693	0.2191780822	0.7702702703	0.5	0.0127282789	0.7704081633	3.436167491	2.0319463735	0.1166382041	0.1309981685	0.0315736066	0.0340671716	0.0249034749	0.0277447777	0.0537199287
GO_TOU_003	de	croco	ref	23.3428571429	0.0073439412	0.0104039168	0	0.9	0.0142857143	0.1142857143	0.0285714286	0	0.2142857143	2.0714285714	0.1428571429	0.4063647491	0.994011976	0.0042839657	0	0.8469387755	0.0714285714	0.0204081633	0.2551020408	0.0285714286	0.0857142857	0.0285714286	0.0714285714	0	0	0.0714285714	0	0	0.0248756219	0.039800995	0.0142857143	0.2465753425	0.7808219178	0.0091799266	0.7619047619	3.3926116536	1.8978917687	0.1054794521	0.0776255708	0.0563926941	0.002739726	0.0632420091	0.0136986301	0.0228310502
GO_SHARE_004	de	croco	ref	19.4666666667	0.0399543379	0.0184931507	0	0.5066666667	0.0044444444	0.1733333333	0.0266666667	0.0177777778	0.1155555556	1.1466666667	0.1288888889	0.4257990868	0.9883412825	0.0098173516	0.2	0.7699757869	0.0992736077	0.0121065375	0.2397094431	0.0177777778	0.12	0.1377777778	0.2266666667	0.12	0.1066666667	0.1688888889	0.0577777778	0.0311111111	0.0698051948	0.012987013	0.1066666667	0.5726872247	0.5594713656	0.0084474886	0.5708812261	3.1427753613	2.0286596886	0.1147507167	0.2737081323	0.0769176981	0.0117719041	0.0479721698	0.0250471995	0.0673764072
GO_SPEECH_012	de	croco	ref	24.6456692913	0.0629392971	0.0051118211	0.0006389776	0.7795275591	0.0078740157	0.4645669291	0.0551181102	0.1023622047	0.3937007874	0.9842519685	0.1653543307	0.389456869	0.949376947	0.0172523962	0.4330708661	0.7678571429	0.0892857143	0.0119047619	0.0952380952	0.0236220472	0.157480315	0.3937007874	0.4645669291	0.1338582677	0.1732283465	0.1968503937	0.1732283465	0.1181102362	0.0385438972	0.0021413276	0.2598425197	0.8473282443	0.5190839695	0.0115015974	0.345410628	3.3479537308	2.3562116607	0.1193078974	0.3085244484	0.0661113907	0.0515911993	0.053383152	0.0350655706	0.0528840752
GO_ESSAY_017	de	croco	ref	19.8157894737	0.01062417	0.0066401062	0.0006640106	0.5789473684	0	0.0657894737	0	0	0.1973684211	1	0.1973684211	0.3857901726	0.9847457627	0.01062417	0.2631578947	0.837398374	0.0406504065	0.0325203252	0.162601626	0.0263157895	0.1578947368	0.0657894737	0.1578947368	0.1184210526	0.1447368421	0.1447368421	0.0394736842	0.0263157895	0.0537634409	0.0215053763	0.1842105263	0.3421052632	0.6842105263	0.0132802125	0.7419354839	3.0526900234	1.9299668561	0.0614035088	0.2094298246	0.1293859649	0.0032894737	0.0504385965	0.0646929825	0.0350877193
GO_SHARE_009	de	croco	ref	17.0918918919	0.0221378874	0.0107526882	0	0.5297297297	0.0108108108	0.1297297297	0.0054054054	0.0054054054	0.2108108108	0.8756756757	0.0918918919	0.4180898166	0.9932381668	0.0063251107	0.1621621622	0.7422360248	0.102484472	0.0124223602	0.2049689441	0.0216216216	0.1405405405	0.0918918919	0.1243243243	0.0378378378	0.0756756757	0.1243243243	0.0162162162	0.0378378378	0.0465686275	0.0049019608	0.1189189189	0.4397905759	0.664921466	0.0069576218	0.6428571429	3.1366267754	1.845345018	0.0935552231	0.1965594615	0.085477437	0.0056719023	0.0530167041	0.0122662678	0.0604712042
GO_SPEECH_008	de	croco	ref	22.1860465116	0.035639413	0.0120545073	0	0.7209302326	0.011627907	0.2093023256	0.0465116279	0.023255814	0.2093023256	1.3023255814	0.1860465116	0.392033543	0.9855072464	0.0083857442	0.2558139535	0.6956521739	0.149068323	0.0062111801	0.2857142857	0.011627907	0.1395348837	0.2674418605	0.1976744186	0.0465116279	0.1046511628	0.1511627907	0.0465116279	0	0.0497925311	0	0.1860465116	0.5632183908	0.5862068966	0.0083857442	0.5538461538	3.1966770306	2.0725582417	0.0886288998	0.2279967159	0.0688149973	0.0386015326	0.0411193213	0	0.0573070608
GO_SPEECH_004	de	croco	ref	22.0804597701	0.0218636127	0.0135346174	0.0005205622	0.632183908	0.0114942529	0.1379310345	0	0	0.275862069	1.6091954023	0.0459770115	0.4580947423	0.990990991	0.0197813639	0.1494252874	0.7894736842	0.0921052632	0.0328947368	0.25	0.0114942529	0.1034482759	0.183908046	0.2988505747	0.1379310345	0.1149425287	0.1379310345	0.0574712644	0.0459770115	0.0638297872	0.009118541	0.1954022989	0.4482758621	0.632183908	0.0062467465	0.6666666667	3.1693785646	2.1034789686	0.0793103448	0.1406130268	0.1	0.0153256705	0.0473180077	0.0124521073	0.0641762452
GO_INSTR_005	de	croco	ref	16.7125	0.0284218399	0.0022438295	0	0.4375	0.0125	0.05	0.0125	0	0.1125	0.5375	0.0625	0.3956619297	0.9653284672	0.0029917726	0.2375	0.6222222222	0.0444444444	0.037037037	0.2296296296	0	0.2375	0.2	0.05	0.0125	0.075	0.1375	0.0125	0	0.0241935484	0.0161290323	0.2125	0.45	0.6375	0.0082273747	0.6666666667	2.9872128085	1.4840077778	0.0719940476	0.0935714286	0.0869940476	0.015625	0.0758630952	0.005952381	0.0270833333
GO_SHARE_002	de	croco	ref	22.2327586207	0.0197751066	0.0182241179	0.0003877472	1.1810344828	0	0.1551724138	0.0344827586	0	0.2327586207	1.6293103448	0.1120689655	0.4466847615	0.9871465296	0.0073671966	0.1206896552	0.7707317073	0.0682926829	0.0097560976	0.3609756098	0.0172413793	0.224137931	0.0775862069	0.1551724138	0.0517241379	0.0431034483	0.1637931034	0.0086206897	0.0344827586	0.0555555556	0.0111111111	0.1034482759	0.3801652893	0.6694214876	0.008142691	0.6885964912	3.414984359	2.168605947	0.0851239669	0.1581463991	0.1516725699	0.0195592287	0.0760527351	0.0068870523	0.0531680441
GO_WEB_007	de	croco	ref	21.0701754386	0.0091590341	0.0041631973	0	0.7894736842	0	0.0701754386	0.0175438596	0	0.1228070175	1.5438596491	0.0175438596	0.4088259784	0.9859437751	0.0024979184	0.1578947368	0.9315068493	0.0136986301	0	0.3835616438	0.0175438596	0.1403508772	0.0526315789	0.1228070175	0.0175438596	0.0175438596	0.0877192982	0.0175438596	0	0.0567375887	0.0141843972	0.0175438596	0.2068965517	0.8103448276	0.0066611157	0.8229166667	3.3258747222	1.9294596858	0.0459770115	0.158045977	0.0747126437	0	0.0603448276	0	0.025862069
GO_WEB_006	de	croco	ref	21.6855345912	0.0191415313	0.00725058	0	0.9308176101	0	0.1194968553	0.0188679245	0.0062893082	0.1698113208	1.7547169811	0.0880503145	0.4289443155	0.9755936675	0.002900232	0.1006289308	0.8051948052	0.0519480519	0.0173160173	0.3376623377	0.0062893082	0.0754716981	0.0377358491	0.2075471698	0.0377358491	0.0314465409	0.1886792453	0.0062893082	0	0.0602910603	0.0145530146	0.0377358491	0.3558282209	0.7055214724	0.0052204176	0.6666666667	3.2719843289	1.8895858249	0.1231083845	0.1216768916	0.0486707566	0	0.0527607362	0.0439672802	0.0251533742
GO_SPEECH_014	de	croco	ref	19.0074626866	0.0306242638	0.0184530821	0.0003926188	0.7313432836	0	0.1865671642	0.0298507463	0.0223880597	0.2164179104	1.1567164179	0.052238806	0.428347075	0.9855465221	0.0133490381	0.3432835821	0.8043478261	0.0565217391	0.0130434783	0.2739130435	0.0074626866	0.1119402985	0.2089552239	0.2611940299	0.0597014925	0.1417910448	0.1417910448	0.0746268657	0.0746268657	0.0615384615	0.0025641026	0.1417910448	0.3582089552	0.7164179104	0.0102080879	0.6015037594	3.1296350822	2.0220632831	0.0757462687	0.2581260365	0.0648839138	0.0565298507	0.0572968491	0.0269900498	0.0279228856
GO_POPSCI_004	de	croco	ref	26.1240875912	0.0441464096	0.0139703828	0.0019558536	1.1094890511	0.0218978102	0.2700729927	0.0510948905	0.0291970803	0.3795620438	1.5109489051	0.102189781	0.4238614138	0.9546884833	0.0142497904	0.4160583942	0.8125	0.1051136364	0.0142045455	0.2329545455	0.0437956204	0.197080292	0.401459854	0.2116788321	0.1167883212	0.1094890511	0.1605839416	0.0656934307	0.102189781	0.0496575342	0.0068493151	0.3284671533	0.8467153285	0.4525547445	0.009779268	0.4074074074	3.1965606338	2.1600300682	0.1430807028	0.1727004139	0.0761328088	0.0377568701	0.0528012134	0.0200877387	0.0595962229
GO_FICTION_005	de	croco	ref	25.6834532374	0.0473389356	0.0117647059	0.0011204482	0.8273381295	0.0287769784	0.4532374101	0.0575539568	0.0143884892	0.3956834532	1.3165467626	0.1007194245	0.3932773109	0.9811320755	0.0114845938	0.2086330935	0.8162650602	0.0873493976	0.0301204819	0.0873493976	0	0.0647482014	0.2661870504	0.1510791367	0.1079136691	0.1223021583	0.2302158273	0.1007194245	0.0791366906	0.0463821892	0.0018552876	0.3165467626	0.9856115108	0.5395683453	0.0050420168	0.3981264637	3.0762409682	1.6354050104	0.1498259457	0.0879990938	0.0227817746	0.0182801224	0.0541538198	0.048495121	0.0296444872
GO_ESSAY_018	de	croco	ref	23.7922077922	0.0060043668	0.0076419214	0	0.8311688312	0	0.1298701299	0	0.012987013	0.2597402597	1.6753246753	0.2727272727	0.4252183406	0.9811083123	0.0087336245	0.2987012987	0.8095238095	0.0873015873	0.0238095238	0.3968253968	0.012987013	0.1818181818	0.1298701299	0.3116883117	0.0519480519	0.1558441558	0.2727272727	0.012987013	0.0649350649	0.0833333333	0.0075757576	0.1558441558	0.3461538462	0.6923076923	0.009279476	0.7559055118	3.148722478	2.0444425743	0.0811965812	0.2425213675	0.1057692308	0.0128205128	0.0726495726	0	0.0235042735
GO_ESSAY_004	de	croco	ref	23.3888888889	0.0031670625	0.0079176564	0.0015835313	0.7962962963	0	0.1296296296	0	0.0185185185	0.0925925926	2.2592592593	0.1666666667	0.4600158353	0.9880952381	0.0134600158	0.0740740741	0.8554216867	0.0481927711	0.0120481928	0.2409638554	0.0185185185	0.1481481481	0.1851851852	0.3518518519	0.2037037037	0.1111111111	0.3518518519	0	0.037037037	0.049382716	0.0205761317	0.037037037	0.4074074074	0.6481481481	0.0079176564	0.7428571429	3.4526968126	2.0020962989	0.1388888889	0.1141975309	0.0697530864	0.0098765432	0.0635802469	0.0185185185	0.0438271605
GO_FICTION_007	de	croco	ref	14.0811965812	0.0518968134	0.0075872534	0.0009104704	0.3675213675	0.0085470085	0.1538461538	0.0213675214	0.0128205128	0.1752136752	0.3846153846	0.2521367521	0.3817905918	0.9897718332	0.0176024279	0.1837606838	0.9252077562	0.0332409972	0.0110803324	0.0498614958	0	0.0555555556	0.2179487179	0.0512820513	0.0598290598	0.0854700855	0.1837606838	0.047008547	0.0726495726	0.0477326969	0.0095465394	0.2094017094	0.4322033898	0.6652542373	0.0069802731	0.4082073434	2.7166012371	1.4368027381	0.0933615819	0.198269774	0.0364759887	0.0381355932	0.0188559322	0.0223870056	0.0361935028
GO_SPEECH_017	de	croco	ref	18.4571428571	0.0526315789	0.0092879257	0	0.5142857143	0.0285714286	0.1142857143	0	0	0.1428571429	1.1714285714	0.1714285714	0.427244582	0.9892473118	0.0170278638	0.2857142857	0.6956521739	0.1449275362	0.0144927536	0.1739130435	0	0.0285714286	0.3142857143	0.2571428571	0.0857142857	0.1142857143	0.2	0.1142857143	0	0.0392156863	0	0.0285714286	0.6857142857	0.4857142857	0.0077399381	0.475	3.0970716252	1.9404543603	0.1	0.2828571429	0.0795238095	0.02	0.0295238095	0.0142857143	0.020952381
GO_ESSAY_021	de	croco	ref	17.6886792453	0.0394666667	0.0026666667	0.0010666667	0.4716981132	0.0094339623	0.2169811321	0.0283018868	0.0094339623	0.4150943396	1.0471698113	0.2358490566	0.4378666667	0.9773809524	0.0154666667	0.2075471698	0.8368421053	0.0947368421	0.0052631579	0.2157894737	0	0.0566037736	0.1981132075	0.2735849057	0.1320754717	0.1132075472	0.2830188679	0.0377358491	0.0849056604	0.0440251572	0.0094339623	0.1037735849	0.523364486	0.5700934579	0.0085333333	0.4615384615	2.998765955	1.8513887267	0.1273698264	0.2159101024	0.017222964	0.0324877615	0.0204272363	0.0537383178	0.0327102804
GO_ESSAY_019	de	croco	ref	20.1875	0.0232198142	0.0046439628	0	0.8064516129	0	0.3225806452	0	0.064516129	0.2580645161	1.0967741935	0	0.4628482972	0.9933554817	0.0154798762	0.3548387097	0.8088235294	0.0294117647	0.0294117647	0.1029411765	0	0.1935483871	0.3548387097	0.1290322581	0.1612903226	0.1935483871	0.3225806452	0.064516129	0.0322580645	0.0083333333	0	0.1290322581	0.6764705882	0.5882352941	0.0108359133	0.5340909091	3.3426748234	2.1056090863	0.1359010271	0.2552287582	0.0649393091	0.0581699346	0.0607376284	0.0808823529	0.0198879552
GO_ESSAY_001	de	croco	ref	22.5604395604	0.0214320507	0.0063321968	0.0004870921	0.6373626374	0.010989011	0.2087912088	0	0.0659340659	0.3186813187	1.3186813187	0.0879120879	0.4442279591	0.9795918367	0.0131514856	0.1978021978	0.8306878307	0.0634920635	0.0052910053	0.164021164	0.021978022	0.0769230769	0.2417582418	0.3626373626	0.0989010989	0.1648351648	0.1428571429	0.021978022	0.021978022	0.0332326284	0.0120845921	0.1758241758	0.5	0.59375	0.0092547491	0.6363636364	3.288527536	2.0150815025	0.1049603175	0.1606894841	0.0340277778	0.0388392857	0.0361111111	0.094890873	0.0125248016
